iter	Passed	Remaining
0	14	4371
1	23	3509
2	32	3235
3	42	3113
4	50	2989
5	59	2920
6	68	2867
7	77	2834
8	87	2817
9	96	2790
10	105	2763
11	114	2746
12	122	2705
13	133	2718
14	142	2716
15	151	2686
16	160	2678
17	169	2655
18	180	2664
19	189	2646
20	197	2626
21	205	2592
22	214	2579
23	221	2547
24	228	2516
25	236	2496
26	246	2488
27	253	2458
28	261	2447
29	270	2436
30	279	2428
31	288	2419
32	296	2401
33	306	2401
34	317	2401
35	325	2389
36	334	2377
37	343	2367
38	351	2352
39	360	2343
40	369	2334
41	377	2316
42	386	2312
43	395	2301
44	405	2295
45	413	2283
46	422	2272
47	432	2269
48	441	2262
49	450	2250
50	459	2243
51	468	2235
52	477	2225
53	486	2217
54	496	2213
55	505	2202
56	514	2194
57	530	2212
58	537	2195
59	549	2197
60	556	2181
61	570	2188
62	586	2205
63	604	2227
64	616	2228
65	627	2224
66	636	2212
67	645	2202
68	653	2187
69	661	2173
70	668	2155
71	673	2132
72	678	2109
73	683	2086
74	688	2065
75	693	2043
76	698	2021
77	703	2001
78	708	1981
79	712	1960
80	718	1942
81	724	1925
82	729	1908
83	735	1890
84	738	1867
85	743	1850
86	748	1832
87	753	1815
88	758	1798
89	763	1781
90	768	1765
91	773	1748
92	778	1732
93	785	1721
94	790	1706
95	795	1691
96	800	1675
97	805	1659
98	810	1645
99	814	1629
100	819	1615
101	824	1600
102	829	1586
103	834	1572
104	839	1559
105	844	1545
106	849	1532
107	854	1519
108	859	1505
109	864	1492
110	869	1480
111	874	1467
112	879	1455
113	884	1442
114	890	1432
115	896	1421
116	901	1410
117	907	1399
118	912	1387
119	917	1375
120	922	1363
121	926	1352
122	931	1341
123	937	1330
124	942	1319
125	947	1308
126	952	1297
127	957	1286
128	962	1275
129	967	1265
130	972	1255
131	977	1244
132	982	1233
133	987	1223
134	992	1213
135	997	1202
136	1002	1192
137	1007	1182
138	1012	1172
139	1017	1162
140	1022	1153
141	1027	1143
142	1033	1134
143	1038	1124
144	1043	1115
145	1048	1105
146	1053	1096
147	1058	1087
148	1063	1077
149	1068	1068
150	1073	1059
151	1078	1050
152	1083	1041
153	1089	1032
154	1094	1023
155	1099	1014
156	1104	1005
157	1109	997
158	1114	988
159	1119	979
160	1124	971
161	1129	962
162	1134	953
163	1139	945
164	1145	936
165	1150	928
166	1155	920
167	1160	912
168	1165	903
169	1170	895
170	1176	887
171	1181	878
172	1186	870
173	1191	862
174	1196	854
175	1201	846
176	1206	838
177	1211	830
178	1216	822
179	1221	814
180	1226	806
181	1231	798
182	1237	790
183	1242	783
184	1247	775
185	1252	767
186	1258	760
187	1263	752
188	1268	744
189	1273	737
190	1278	729
191	1283	721
192	1288	714
193	1293	706
194	1298	699
195	1303	691
196	1308	684
197	1313	676
198	1319	669
199	1324	662
200	1329	654
201	1334	647
202	1339	640
203	1344	632
204	1349	625
205	1354	617
206	1359	610
207	1364	603
208	1369	596
209	1374	589
210	1379	581
211	1384	574
212	1389	567
213	1394	560
214	1400	553
215	1405	546
216	1410	539
217	1415	532
218	1420	525
219	1426	518
220	1431	511
221	1436	504
222	1441	497
223	1446	490
224	1451	483
225	1456	476
226	1461	469
227	1466	463
228	1470	456
229	1475	449
230	1480	442
231	1485	435
232	1490	428
233	1496	422
234	1501	415
235	1506	408
236	1511	401
237	1520	396
238	1529	390
239	1536	384
240	1544	378
241	1551	371
242	1560	366
243	1566	359
244	1571	352
245	1577	346
246	1582	339
247	1588	333
248	1593	326
249	1598	319
250	1603	313
251	1608	306
252	1614	299
253	1622	293
254	1627	287
255	1633	280
256	1639	274
257	1644	267
258	1649	261
259	1654	254
260	1659	247
261	1664	241
262	1669	234
263	1675	228
264	1680	221
265	1687	215
266	1692	209
267	1697	202
268	1702	196
269	1707	189
270	1712	183
271	1717	176
272	1722	170
273	1727	163
274	1732	157
275	1737	151
276	1742	144
277	1747	138
278	1751	131
279	1756	125
280	1761	119
281	1766	112
282	1771	106
283	1777	100
284	1782	93
285	1787	87
286	1792	81
287	1799	74
288	1804	68
289	1809	62
290	1814	56
291	1819	49
292	1825	43
293	1830	37
294	1838	31
295	1844	24
296	1852	18
297	1857	12
298	1862	6
299	1867	0
	3966	165
288	3975	151
289	3983	137
290	3992	123
291	4000	109
292	4007	95
293	4015	81
294	4027	68
295	4038	54
296	4048	40
297	4059	27
298	4071	13
299	4087	0
